Año,Región,Tipo de producto,Ventas
2017,Norte,Tecnología,1980
2017,Sur,Tecnología,2642
2017,Este,Tecnología,1594
2017,Oeste,Tecnología,1855
2017,Norte,Moda,2687
2017,Sur,Moda,1824
2017,Este,Moda,1297
2017,Oeste,Moda,1258
2017,Norte,Alimentación,2430
2017,Sur,Alimentación,1872
2017,Este,Alimentación,1066
2017,Oeste,Alimentación,1339
2018,Norte,Tecnología,2809
2018,Sur,Tecnología,2478
2018,Este,Tecnología,2384
2018,Oeste,Tecnología,2459
2018,Norte,Moda,1669
2018,Sur,Moda,1488
2018,Este,Moda,2952
2018,Oeste,Moda,2569
2018,Norte,Alimentación,1463
2018,Sur,Alimentación,1725
2018,Este,Alimentación,2368
2018,Oeste,Alimentación,1882
2019,Norte,Tecnología,1903
2019,Sur,Tecnología,2793
2019,Este,Tecnología,2624
2019,Oeste,Tecnología,2725
2019,Norte,Moda,2117
2019,Sur,Moda,2395
2019,Este,Moda,2723
2019,Oeste,Moda,1674
2019,Norte,Alimentación,2478
2019,Sur,Alimentación,2433
2019,Este,Alimentación,1885
2019,Oeste,Alimentación,1705
2020,Norte,Tecnología,2008
2020,Sur,Tecnología,1246
2020,Este,Tecnología,1727
2020,Oeste,Tecnología,1930
2020,Norte,Moda,2937
2020,Sur,Moda,2962
2020,Este,Moda,2019
2020,Oeste,Moda,1675
2020,Norte,Alimentación,1406
2020,Sur,Alimentación,1670
2020,Este,Alimentación,2090
2020,Oeste,Alimentación,1968
2021,Norte,Tecnología,1307
2021,Sur,Tecnología,1297
2021,Este,Tecnología,1760
2021,Oeste,Tecnología,2334
2021,Norte,Moda,1707
2021,Sur,Moda,2898
2021,Este,Moda,2311
2021,Oeste,Moda,1956
2021,Norte,Alimentación,1974
2021,Sur,Alimentación,1882
2021,Este,Alimentación,1072
2021,Oeste,Alimentación,2729
